Date Time, Water Level, Sigma, O, F, R, L, Quality 
2014-01-02 00:12,1.250,0.033,0,0,0,0,v
2014-01-02 00:18,1.017,0.043,0,0,0,0,v
2014-01-02 00:24,0.791,0.043,0,0,0,0,v
2014-01-02 00:30,0.551,0.036,0,0,0,0,v
2014-01-02 00:36,0.292,0.033,0,0,0,0,v
2014-01-02 00:42,0.052,0.039,0,0,0,0,v
2014-01-02 00:48,-0.161,0.043,0,0,0,0,v
2014-01-02 00:54,-0.381,0.033,0,0,0,0,v
2014-01-02 01:00,-0.610,0.030,0,0,0,0,v
2014-01-02 01:06,-0.814,0.039,0,0,0,0,v
2014-01-02 01:12,-1.004,0.036,0,0,0,0,v
2014-01-02 01:18,-1.208,0.023,0,0,0,0,v
2014-01-02 01:24,-1.404,0.030,0,0,0,0,v
2014-01-02 01:30,-1.575,0.039,0,0,0,0,v
2014-01-02 01:36,-1.759,0.030,0,0,0,0,v
2014-01-02 01:42,-1.956,0.030,0,0,0,0,v
2014-01-02 01:48,-2.120,0.030,0,0,0,0,v
2014-01-02 01:54,-2.234,0.026,0,0,0,0,v
2014-01-02 02:00,-2.339,0.023,0,0,0,0,v
2014-01-02 02:06,-2.467,0.020,0,0,0,0,v
2014-01-02 02:12,-2.599,0.020,0,0,0,0,v
2014-01-02 02:18,-2.723,0.026,0,0,0,0,v
2014-01-02 02:24,-2.841,0.023,0,0,0,0,v
2014-01-02 02:30,-2.956,0.020,0,0,0,0,v
2014-01-02 02:36,-3.051,0.023,0,0,0,0,v
2014-01-02 02:42,-3.130,0.016,0,0,0,0,v
2014-01-02 02:48,-3.196,0.016,0,0,0,0,v
2014-01-02 02:54,-3.238,0.013,0,0,0,0,v
2014-01-02 03:00,-3.248,0.016,0,0,0,0,v
2014-01-02 03:06,-3.265,0.010,0,0,0,0,v
2014-01-02 03:12,-3.291,0.016,0,0,0,0,v
2014-01-02 03:18,-3.297,0.010,0,0,0,0,v
2014-01-02 03:24,-3.291,0.020,0,0,0,0,v
2014-01-02 03:30,-3.258,0.020,0,0,0,0,v
2014-01-02 03:36,-3.196,0.016,0,0,0,0,v
2014-01-02 03:42,-3.117,0.016,0,0,0,0,v
2014-01-02 03:48,-3.051,0.020,0,0,0,0,v
2014-01-02 03:54,-2.973,0.016,0,0,0,0,v
2014-01-02 04:00,-2.861,0.026,0,0,0,0,v
2014-01-02 04:06,-2.720,0.030,0,0,0,0,v
2014-01-02 04:12,-2.566,0.023,0,0,0,0,v
2014-01-02 04:18,-2.415,0.023,0,0,0,0,v
2014-01-02 04:24,-2.284,0.033,0,0,0,0,v
